County	 No. of Households	 Area in Sq. Km.	 Population Density	 Male	 Female	 Total
MOMBASA	268700	3079	305.1	486924	452446	939370
KWALE	122047	1265	513.8	315997	333934	649931
KILIFI	199764	2343	473.6	535526	574209	1109735
TANARIVER	47414	626	383.5	119853	120222	240075
LAMU	22184	265	383.2	53045	48494	101539
TAITA TAVETA	71090	971	293.2	145334	139323	284657
GARISSA	98590	861	723.7	334939	288121	623060
WAJIR	88574	815	812.2	363766	298175	661941
MANDERA	125497	1038	988.2	559943	465813	1025756
MARSABIT	56941	653	445.9	151112	140054	291166
ISIOLO	31326	397	360.9	73694	69600	143294
MERU	319616	3196	424.4	670656	685645	1356301
THARAKA	88803	1102	331.5	178451	186879	365330
EMBU	131683	1296	398.3	254303	261909	516212
KITUI	205491	3587	282.3	481282	531427	1012709
MACHAKOS	264500	3052	360	543139	555445	1098584
MAKUENI	186478	2344	377.4	430710	453817	884527
NYANDARUA	143879	1259	473.6	292155	304113	596268
NYERI	201703	2077	333.9	339725	353833	693558
KIRINYAGA	154220	1401	376.9	260630	267424	528054
MURANGA	255696	2517	374.5	457864	484717	942581
KIAMBU	469244	4946	328.2	802609	820673	1623282
TURKANA	123191	1520	562.8	445069	410330	855399
WEST POKOT	93777	1407	364.4	254827	257863	512690
SAMBURU	47354	542	413.2	112007	111940	223947
TRANS-NZOIA	170117	1611	508.2	407172	411585	818757
UASIN GISHU	202291	2112	423.4	448994	445185	894179
ELGIYO MARAKWET	77555	1107	334.2	183738	186260	369998
NANDI	154073	1777	423.7	376488	376477	752965
BARINGO	110649	1970	282	279081	276480	555561
LAIKIPIA	103114	1023	390.3	198625	200602	399227
NAKURU	409836	4650	344.8	804582	798743	1603325
NAROK	169220	1852	459.5	429026	421894	850920
KAJIADO	173464	1105	351.6	345146	342166	687312
BOMET	142361	1630	444.3	359727	364459	724186
KERICHO	160134	1886	402.1	381980	376359	758339
KAKAMEGA	355679	3343	496.8	800989	859662	1660651
VIHIGA	123347	1271	436.4	262716	291906	554622
BUNGOMA	321628	3123	522.2	710510	835339	1630934
BUSIA	103421	1171	416.8	232075	256000	488075
SIAYA	199034	2183	385.9	398652	443652	842304
KISUMU	226719	2407	402.5	474760	494149	968909
HOMA BAY	160935	1754	427.2	357273	392058	749331
MIGORI	41800	489	523.7	125938	130148	256086
KISII	245029	2588	445.2	550464	601818	1152282
NYAMIRA	131039	1291	463.4	287048	311204	598252
NAIROBI	985016	10323	304	1605230	1533139	3138369

